"","District","Primary.Type","crime_count","arrest_count","arrest_rate"
"468",16,"CRIMINAL SEXUAL ASSAULT",95,12,0.126315789473684
"469",16,"CRIMINAL TRESPASS",1483,638,0.430209035738368
"470",16,"DECEPTIVE PRACTICE",5198,131,0.0252020007695267
"471",16,"GAMBLING",2,2,1
"472",16,"HOMICIDE",46,36,0.782608695652174
"473",16,"HUMAN TRAFFICKING",5,0,0
"474",16,"INTERFERENCE WITH PUBLIC OFFICER",103,94,0.912621359223301
"475",16,"INTIMIDATION",52,5,0.0961538461538462
"476",16,"KIDNAPPING",75,5,0.0666666666666667
"477",16,"LIQUOR LAW VIOLATION",81,81,1
"478",16,"MOTOR VEHICLE THEFT",2668,136,0.0509745127436282
"479",16,"NARCOTICS",1803,1793,0.994453688297282
"480",16,"NON - CRIMINAL",4,2,0.5
"481",16,"NON-CRIMINAL",5,0,0
"482",16,"OBSCENITY",24,21,0.875
"483",16,"OFFENSE INVOLVING CHILDREN",556,88,0.158273381294964
"484",16,"OTHER NARCOTIC VIOLATION",5,2,0.4
"485",16,"OTHER OFFENSE",4358,534,0.122533272143185
"486",16,"PROSTITUTION",13,13,1
"487",16,"PUBLIC INDECENCY",1,1,1
"488",16,"PUBLIC PEACE VIOLATION",244,108,0.442622950819672
"489",16,"ROBBERY",1025,114,0.111219512195122
"490",16,"SEX OFFENSE",297,48,0.161616161616162
"491",16,"STALKING",70,8,0.114285714285714
"492",16,"THEFT",12354,728,0.0589282823377044
"493",16,"WEAPONS VIOLATION",438,251,0.573059360730594
"494",17,"ARSON",131,14,0.106870229007634
"495",17,"ASSAULT",4490,636,0.141648106904232
"496",17,"BATTERY",11753,2229,0.18965370543691
"497",17,"BURGLARY",4407,161,0.0365327887451781
"498",17,"CONCEALED CARRY LICENSE VIOLATION",7,7,1
"499",17,"CRIM SEXUAL ASSAULT",240,28,0.116666666666667
"500",17,"CRIMINAL DAMAGE",9238,391,0.0423251786100888
"501",17,"CRIMINAL SEXUAL ASSAULT",156,16,0.102564102564103
"502",17,"CRIMINAL TRESPASS",1336,369,0.276197604790419
"503",17,"DECEPTIVE PRACTICE",5048,172,0.0340729001584786
"504",17,"GAMBLING",18,17,0.944444444444444
"505",17,"HOMICIDE",85,54,0.635294117647059
"506",17,"HUMAN TRAFFICKING",2,1,0.5
"507",17,"INTERFERENCE WITH PUBLIC OFFICER",94,79,0.840425531914894
"508",17,"INTIMIDATION",53,4,0.0754716981132075
"509",17,"KIDNAPPING",44,6,0.136363636363636
"510",17,"LIQUOR LAW VIOLATION",100,100,1
"511",17,"MOTOR VEHICLE THEFT",4198,198,0.0471653168175322
"512",17,"NARCOTICS",1851,1833,0.990275526742301
"513",17,"NON-CRIMINAL",6,0,0
"514",17,"OBSCENITY",18,13,0.722222222222222
"515",17,"OFFENSE INVOLVING CHILDREN",611,111,0.181669394435352
"516",17,"OTHER NARCOTIC VIOLATION",2,0,0
"517",17,"OTHER OFFENSE",4360,604,0.138532110091743
"518",17,"PROSTITUTION",64,64,1
"519",17,"PUBLIC INDECENCY",1,1,1
"520",17,"PUBLIC PEACE VIOLATION",331,173,0.522658610271903
"521",17,"ROBBERY",2439,227,0.0930709307093071
"522",17,"SEX OFFENSE",394,62,0.157360406091371
"523",17,"STALKING",54,8,0.148148148148148
"524",17,"THEFT",19301,1781,0.0922750116574271
"525",17,"WEAPONS VIOLATION",723,319,0.441217150760719
"526",18,"ARSON",60,12,0.2
"527",18,"ASSAULT",5360,1025,0.191231343283582
"528",18,"BATTERY",14891,3704,0.24874085017796
"529",18,"BURGLARY",3328,304,0.0913461538461538
"530",18,"CONCEALED CARRY LICENSE VIOLATION",24,21,0.875
"531",18,"CRIM SEXUAL ASSAULT",497,28,0.0563380281690141
"532",18,"CRIMINAL DAMAGE",7835,475,0.0606253988513082
"533",18,"CRIMINAL SEXUAL ASSAULT",457,22,0.0481400437636762
"534",18,"CRIMINAL TRESPASS",4084,2539,0.621694417238002
"535",18,"DECEPTIVE PRACTICE",15410,1111,0.0720960415314731
"536",18,"GAMBLING",14,14,1
"537",18,"HOMICIDE",66,41,0.621212121212121
"538",18,"HUMAN TRAFFICKING",3,0,0
"539",18,"INTERFERENCE WITH PUBLIC OFFICER",243,225,0.925925925925926
"540",18,"INTIMIDATION",75,7,0.0933333333333333
"541",18,"KIDNAPPING",46,7,0.152173913043478
"542",18,"LIQUOR LAW VIOLATION",335,324,0.967164179104478
"543",18,"MOTOR VEHICLE THEFT",3974,271,0.068193256165073
"544",18,"NARCOTICS",1738,1711,0.984464902186421
"545",18,"NON - CRIMINAL",1,0,0
"546",18,"NON-CRIMINAL",11,2,0.181818181818182
"547",18,"OBSCENITY",18,13,0.722222222222222
"548",18,"OFFENSE INVOLVING CHILDREN",282,47,0.166666666666667
"549",18,"OTHER NARCOTIC VIOLATION",4,4,1
"550",18,"OTHER OFFENSE",3800,303,0.0797368421052632
"551",18,"PROSTITUTION",238,228,0.957983193277311
"552",18,"PUBLIC INDECENCY",9,9,1
"553",18,"PUBLIC PEACE VIOLATION",659,360,0.546282245827011
"554",18,"ROBBERY",3788,459,0.12117212249208
"555",18,"SEX OFFENSE",520,88,0.169230769230769
"556",18,"STALKING",112,14,0.125
"557",18,"THEFT",55752,6236,0.111852489596786
"558",18,"WEAPONS VIOLATION",1033,906,0.877057115198451
"559",19,"ARSON",115,18,0.156521739130435
"560",19,"ASSAULT",5655,1181,0.208841732979664
"561",19,"BATTERY",15246,3767,0.247081201626656
"562",19,"BURGLARY",6172,445,0.072099805573558
"563",19,"CONCEALED CARRY LICENSE VIOLATION",22,21,0.954545454545455
"564",19,"CRIM SEXUAL ASSAULT",509,34,0.0667976424361493
"565",19,"CRIMINAL DAMAGE",10731,610,0.0568446556704874
"566",19,"CRIMINAL SEXUAL ASSAULT",311,20,0.0643086816720257
"567",19,"CRIMINAL TRESPASS",3498,1757,0.502287021154946
"568",19,"DECEPTIVE PRACTICE",12363,669,0.0541130793496724
"569",19,"GAMBLING",8,8,1
"570",19,"HOMICIDE",61,31,0.508196721311475
"571",19,"HUMAN TRAFFICKING",1,1,1
"572",19,"INTERFERENCE WITH PUBLIC OFFICER",166,152,0.91566265060241
"573",19,"INTIMIDATION",80,6,0.075
"574",19,"KIDNAPPING",35,2,0.0571428571428571
"575",19,"LIQUOR LAW VIOLATION",226,225,0.995575221238938
